Bug Id,FF Version,Rank
1106264,39.0b,10
1106264,39.0b2,9
1106264,39.0b3,9
1145143,39.0b,9
1145143,39.0b1,7
1145143,39.0b3,10
1145143,39.0b4,7
1146313,39.0b,2
1146313,39.0b1,2
1146313,39.0b2,2
1146313,39.0b3,2
1158189,39.0b,7
1158189,39.0b1,8
1158189,39.0b2,6
1158189,39.0b3,6
1159751,39.0b,4
1159751,39.0b1,6
1159751,39.0b2,4
1159751,39.0b3,4
1159751,39.0b4,9
1170141,39.0b,8
1170141,39.0b1,4
1170141,39.0b1,5
1170141,39.0b2,8
1170143,39.0b,3
1170143,39.0b1,3
1170143,39.0b2,3
1170143,39.0b3,3
