Bug Id,FF Version,Rank
1029671,39.0b,22
1029671,39.0b1,40
1029671,39.0b2,42
1029671,39.0b3,31
1029671,39.0b4,28
1029671,39.0b5,23
1106264,39.0b,10
1106264,39.0b4,18
1106264,39.0b5,10
1127270,39.0b,19
1127270,39.0b1,27
1127270,39.0b2,28
1127270,39.0b2,28
1127270,39.0b3,24
1127270,39.0b4,26
1127270,39.0b5,22
1129455,39.0b2,34
1135562,39.0b2,34
1141089,39.0b,26
1141089,39.0b2,108
1141089,39.0b4,289
1141089,39.0b5,29
1145143,39.0b,8
1145143,39.0b1,8
1145143,39.0b2,21
1145143,39.0b3,12
1145143,39.0b4,4
1145143,39.0b5,7
1146313,39.0b,39
1146313,39.0b1,2
1146313,39.0b1,42
1146313,39.0b2,2
1146313,39.0b2,65
1146313,39.0b3,3
1146313,39.0b3,60
1151506,39.0b,1
1151506,39.0b1,105
1151506,39.0b3,88
1151506,39.0b4,78
1151506,39.0b5,57
1152980,39.0b,240
1153929,39.0b,41
1153929,39.0b5,38
1158189,39.0b,7
1158189,39.0b1,9
1158189,39.0b2,8
1158189,39.0b3,8
1158189,39.0b4,7
1158189,39.0b5,5
1159751,39.0b,4
1159751,39.0b1,7
1159751,39.0b2,5
1159751,39.0b3,6
1159751,39.0b4,5
1159751,39.0b5,3
1160157,39.0b,138
1160157,39.0b1,41
1160157,39.0b2,132
1160157,39.0b3,263
1160157,39.0b4,118
1160157,39.0b5,179
1167248,39.0b1,64
1170141,39.0b,40
1170141,39.0b,45
1170141,39.0b,205
1170141,39.0b1,10
1170141,39.0b1,11
1170141,39.0b1,37
1170141,39.0b2,9
1170141,39.0b2,10
1170141,39.0b2,93
1170141,39.0b3,10
1170141,39.0b3,16
1170141,39.0b3,278
1170141,39.0b4,35
1170141,39.0b4,38
1170141,39.0b5,24
1170141,39.0b5,31
1170141,39.0b5,196
1170143,39.0b,24
1170143,39.0b1,3
1170143,39.0b2,3
1170143,39.0b2,176
1170143,39.0b3,4
1170143,39.0b4,11
1170143,39.0b5,36
1173579,39.0b,95
1173579,39.0b,142
1173579,39.0b2,180
1173579,39.0b2,240
1173579,39.0b3,129
1173579,39.0b3,140
1173579,39.0b4,138
1173579,39.0b5,99
1173579,39.0b5,118
